Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,2,100nF,
"J1, J2, J3",PinHeader_2x08_P2.54mm_Vertical,3,Conn_02x08_Odd_Even,
J4,"TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",1,Screw_Terminal_01x02,
"J5, J6, J7",RJ45_BEL_SS74301-00x_Vertical,3,RJ45_LED,
"JP1, JP2, JP3",SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,3,SolderJumper_3_Bridged123,
"R1, R2, R3, R4, R5, R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,6,290,
"R10, R11, R12, R13, R14, R15, R7, R8, R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,9,10k,
"SW1, SW2",DIP-6_W7.62mm,2,SW_DIP_x03,
"U1, U2",SO-14_5.3x10.2mm_P1.27mm,2,74HC86,
